Line 1,Line 2,Line 3,Line 4
19:43:45,19:41:50,19:43:57,19:45:14
19:44:10,19:42:15,19:44:46,19:45:50
19:47:50,19:42:46,19:44:56,19:46:56
19:47:55,19:45:36,19:48:31,19:50:52
19:48:45,19:47:05,19:50:36,19:50:58
19:52:41,19:47:10,19:50:38,19:54:20
19:52:53,19:50:28,19:54:30,19:54:30
19:52:57,19:50:44,19:56:35,19:58:04
19:57:50,19:55:25,19:56:40,19:59:45
19:57:55,19:55:30,19:59:37,19:59:56
19:58:30,19:57:02,20:00:00,20:03:10
20:01:10,20:00:25,20:00:15,20:03:34
20:02:15,20:00:30,20:03:50,20:03:40
20:02:20,20:00:35,20:04:03,20:07:30
20:06:20,20:04:03,20:04:10,20:07:40
20:06:28,20:04:57,20:08:15,20:07:50
20:07:43,20:05:07,20:08:20,20:10:51
20:07:43,20:11:09,20:08:40,20:11:30
20:10:55,20:11:50,20:12:40,20:12:00
20:13:20,20:11:55,20:12:45,20:16:00
20:13:27,20:14:40,20:14:10,20:16:20
